,Total,All Extremely ,All Fairly ,All Neither ,All Fairly dis,All Extremely dis,All NET,Male Extremely ,Male Fairly ,Male Neither ,Male Fairly dis,Male Extremely dis,Male NET,Female Extremely ,Female Fairly ,Female Neither ,Female Fairly dis,Female Extremely dis,Female NET,Other Gender Extremely ,Other Gender Fairly ,Other Gender Neither ,Other Gender Fairly dis,Other Gender Extremely dis,Other Gender NET,18-30 Extremely ,18-30 Fairly ,18-30 Neither ,18-30 Fairly dis,18-30 Extremely dis,18-30 NET,31-45 Extremely ,31-45 Fairly ,31-45 Neither ,31-45 Fairly dis,31-45 Extremely dis,31-45 NET,46-64 Extremely ,46-64 Fairly ,46-64 Neither ,46-64 Fairly dis,46-64 Extremely dis,46-64 NET,65p Extremely ,65p Fairly ,65p Neither ,65p Fairly dis,65p Extremely dis,65p NET,SNIW Extremely ,SNIW Fairly ,SNIW Neither ,SNIW Fairly dis,SNIW Extremely dis,SNIW NET,North Extremely ,North Fairly ,North Neither ,North Fairly dis,North Extremely dis,North NET,Mid Extremely ,Mid Fairly ,Mid Neither ,Mid Fairly dis,Mid Extremely dis,Mid NET,London Extremely ,London Fairly ,London Neither ,London Fairly dis,London Extremely dis,London NET,South Extremely ,South Fairly ,South Neither ,South Fairly dis,South Extremely dis,South NET
Base,10662,4275,4209,1887,217,73,10661,1950,1873,912,95,24,4854,2320,2330,971,121,48,5790,5,6,4,1,1,17,644,591,171,22,10,1438,1436,1530,597,67,31,3661,1516,1538,792,89,24,3959,679,549,327,39,8,1602,651,561,288,39,18,1557,1006,1032,380,51,17,2486,986,1040,458,45,12,2541,695,616,296,19,9,1635,937,959,465,63,17,2441
Base weighted,12438,5142,4834,2116,255,91,12438,2316,2124,1024,126,41,5631,2816,2702,1085,127,49,6779,10,8,7,2,1,27,842,784,199,33,10,1869,1757,1842,679,87,40,4406,1780,1665,875,92,30,4440,763,541,363,43,11,1720,770,646,322,47,19,1803,1293,1185,424,60,22,2984,1177,1229,515,51,14,2987,816,726,305,22,15,1884,1086,1047,549,75,20,2778
Base percent,,41.34%,38.86%,17.01%,2.05%,0.73%,100.00%,41.13%,37.72%,18.19%,2.23%,0.73%,100.00%,41.54%,39.85%,16.01%,1.88%,0.72%,100.00%,35.17%,29.67%,24.18%,8.79%,2.19%,100.00%,45.09%,41.96%,10.64%,1.78%,0.53%,100.00%,39.88%,41.81%,15.42%,1.97%,0.91%,100.00%,40.08%,37.49%,19.70%,2.07%,0.67%,100.00%,44.34%,31.42%,21.10%,2.51%,0.63%,100.00%,42.68%,35.80%,17.84%,2.59%,1.08%,100.00%,43.34%,39.71%,14.21%,2.01%,0.73%,100.00%,39.42%,41.13%,17.25%,1.72%,0.48%,100.00%,43.31%,38.53%,16.21%,1.18%,0.78%,100.00%,39.11%,37.68%,19.78%,2.70%,0.72%,100.00%
4paws,212,74,87,46,3,2,212,30,45,17,2,0,94,44,42,28,1,2,117,0,0,1,0,0,1,28,28,11,0,0,67,26,33,17,3,0,79,16,22,16,0,2,56,4,4,2,0,0,10,13,13,13,1,0,40,21,22,10,0,1,54,17,17,12,0,0,46,11,23,6,0,0,40,12,12,5,2,1,32
4paws weighted,265,106,105,46,6,2,265,48,54,17,4,0,123,58,52,26,2,2,140,0,0,2,0,0,2,42,35,11,0,0,88,34,41,17,6,0,99,24,28,15,0,2,68,7,1,2,0,0,10,15,17,11,2,0,45,34,25,11,0,1,71,24,26,10,0,0,60,19,24,7,0,0,50,14,13,7,4,*,38
4paws percent,,39.98%,39.75%,17.22%,2.38%,0.68%,100.00%,38.88%,43.76%,14.18%,3.18%,0%,100.00%,41.63%,36.91%,18.46%,1.72%,1.29%,100.00%,0%,0%,100.00%,0%,0%,100.00%,47.78%,39.93%,12.29%,0%,0%,100.00%,34.04%,41.94%,17.63%,6.38%,0%,100.00%,34.80%,40.53%,22.03%,0%,2.64%,100.00%,64.69%,11.78%,23.52%,0%,0%,100.00%,33.78%,37.08%,23.84%,5.30%,0%,100.00%,48.10%,35.02%,14.77%,0%,2.11%,100.00%,39.50%,43.00%,17.50%,0%,0%,100.00%,37.50%,48.21%,14.29%,0%,0%,100.00%,36.22%,35.43%,17.32%,10.24%,0.79%,100.00%
Admiral,246,101,105,38,2,0,246,65,60,27,0,0,152,36,45,11,2,0,94,0,0,0,0,0,0,22,33,8,1,0,64,63,57,19,0,0,139,13,15,11,0,0,39,3,0,0,1,0,4,12,4,7,0,0,23,24,26,4,0,0,54,15,29,8,0,0,52,30,27,10,0,0,67,20,19,9,2,0,50
Admiral weighted,313,130,133,45,5,0,313,80,73,31,0,0,184,50,61,14,5,0,130,0,0,0,0,0,0,28,46,8,2,0,85,84,69,23,0,0,177,13,18,13,0,0,45,4,0,0,2,0,7,13,7,6,0,0,26,38,36,4,0,0,79,13,36,9,0,0,58,39,27,11,0,0,77,26,28,16,5,0,74
Admiral percent,,41.44%,42.58%,14.45%,1.53%,0%,100.00%,43.47%,39.70%,16.83%,0%,0%,100.00%,38.57%,46.65%,11.09%,3.69%,0%,100.00%,0%,0%,0%,0%,0%,0%,32.98%,54.25%,9.93%,2.84%,0%,100.00%,47.63%,39.15%,13.22%,0%,0%,100.00%,29.80%,40.40%,29.80%,0%,0%,100.00%,63.64%,0%,0%,36.36%,0%,100.00%,52.33%,25.58%,22.08%,0%,0%,100.00%,48.85%,45.80%,5.34%,0%,0%,100.00%,23.32%,61.66%,15.03%,0%,0%,100.00%,50.39%,35.55%,14.06%,0%,0%,100.00%,34.68%,37.50%,21.37%,6.45%,0%,100.00%
Adrian Flux,52,24,16,10,2,0,52,15,13,7,2,0,37,9,3,3,0,0,15,0,0,0,0,0,0,9,3,1,1,0,14,13,11,8,1,0,33,2,2,1,0,0,5,0,0,0,0,0,0,1,1,0,1,0,3,2,2,1,0,0,5,3,2,2,1,0,8,15,11,7,0,0,33,3,0,0,0,0,3
